강원|강릉|강남동|37.7320|128.9162
강원|강릉|강동면|37.6796|128.9693
강원|강릉|경포동|37.7890|128.8732
강원|강릉|교1동|37.7646|128.8828
강원|강릉|교2동|37.7709|128.8947
강원|강릉|구정면|37.6984|128.8864
강원|강릉|내곡동|37.7375|128.8754
강원|강릉|사천면|37.7998|128.8067
강원|강릉|성덕동|37.7568|128.9323
강원|강릉|성산면|37.7304|128.8034
강원|강릉|송정동|37.7770|128.9301
강원|강릉|연곡면|37.8282|128.6939
강원|강릉|옥계면|37.5924|128.9813
강원|강릉|옥천동|37.7584|128.9015
강원|강릉|왕산면|37.6029|128.7973
강원|강릉|주문진읍|37.8868|128.7630
강원|강릉|중앙동|37.7527|128.8942
강원|강릉|초당동|37.7907|128.9151
강원|강릉|포남1동|37.7659|128.9088
강원|강릉|포남2동|37.7780|128.9074
강원|강릉|홍제동|37.7510|128.8705
강원|고성|간성읍|38.3444|128.3605
강원|고성|거진읍|38.4317|128.3775
강원|고성|죽왕면|38.3249|128.4940
강원|고성|토성면|38.2504|128.4976
강원|고성|현내면|38.5271|128.3619
강원|동해|동호동|37.5478|129.0896
강원|동해|망상동|37.5712|129.0759
강원|동해|묵호동|37.5653|129.1124
강원|동해|발한동|37.5464|129.1078
강원|동해|부곡동|37.5362|129.0806
강원|동해|북삼동|37.4910|129.0904
강원|동해|북평동|37.4716|129.1172
강원|동해|삼화동|37.4918|129.0178
강원|동해|송정동|37.4993|129.1264
강원|동해|천곡동|37.5235|129.0986
강원|삼척|가곡면|37.1240|129.1687
강원|삼척|교동|37.4580|129.1612
강원|삼척|근덕면|37.3190|129.2359
강원|삼척|남양동|37.4107|129.1645
강원|삼척|노곡면|37.2932|129.1590
강원|삼척|도계읍|37.2307|129.0715
강원|삼척|미로면|37.4052|129.0671
강원|삼척|성내동|37.4391|129.1264
강원|삼척|신기면|37.3303|129.0591
강원|삼척|원덕읍|37.1828|129.2776
강원|삼척|정라동|37.4399|129.1812
강원|삼척|하장면|37.3554|128.9287
강원|속초|교동|38.2036|128.5813
강원|속초|금호동|38.2092|128.5817
강원|속초|노학동|38.1921|128.5369
강원|속초|대포동|38.1647|128.5009
강원|속초|동명동|38.2113|128.5918
강원|속초|영랑동|38.2141|128.5603
강원|속초|조양동|38.1851|128.5806
강원|속초|청호동|38.1948|128.5956
강원|양|국토정중앙면|38.0829|128.0498
강원|양|동면|38.2404|128.0532
강원|양|방산면|38.2396|127.9276
강원|양|양구읍|38.1140|127.9532
강원|양|해안면|38.2867|128.1212
강원|양양|강현면|38.1294|128.5612
강원|양양|서면|38.0109|128.5250
강원|양양|손양면|38.0479|128.6526
강원|양양|양양읍|38.0918|128.6008
강원|양양|현남면|37.9398|128.7395
강원|양양|현북면|37.9510|128.6470
강원|영월|김삿갓면|37.1036|128.6349
강원|영월|남면|37.1658|128.3836
강원|영월|무릉도원면|37.3347|128.2224
